"Mese","Sesso","Popolazione inizio periodo","Nati vivi","Morti","Saldo naturale","Immigrati da altro comune","Emigrati per altro comune","Saldo migratorio interno","Immigrati dall'estero","Emigrati per l'estero","Saldo migratorio con l'estero","Unità in più/meno dovute a variazioni territoriali","Popolazione fine periodo","Iscritti per altri motivi (v)","Cancellati per altri motivi (v)","Informazioni"
"Gennaio","Maschi","28876799","15927","30973","-15046","69679","69679","0","21241","7204","14037","0","28875790","2487","8033","p"
"Gennaio","Femmine","30057378","14853","35123","-20270","67344","67344","0","15655","6821","8834","0","30045942","1151","4547","p"
"Gennaio","Totale","58934177","30780","66096","-35316","137023","137023","0","36896","14025","22871","0","58921732","3638","12580","p"
"Febbraio","Maschi","28875790","13519","25944","-12425","60033","60033","0","20853","6362","14491","0","28877856","2563","9386","p"
"Febbraio","Femmine","30045942","12768","28367","-15599","55882","55882","0","15515","6026","9489","0","30039832","1254","5284","p"
"Febbraio","Totale","58921732","26287","54311","-28024","115915","115915","0","36368","12388","23980","0","58917688","3817","14670","p"
"Marzo","Maschi","28877856","14462","26970","-12508","62391","62391","0","21703","6348","15355","0","28880703","2664","10197","p"
"Marzo","Femmine","30039832","13658","29530","-15872","57619","57619","0","16037","6204","9833","0","30033793","1362","5697","p"
"Marzo","Totale","58917688","28120","56500","-28380","120010","120010","0","37740","12552","25188","0","58914496","4026","15894","p"
"Aprile","Maschi","28880703","13382","24862","-11480","57268","57268","0","19447","5534","13913","0","28883136","2728","7970","p"
"Aprile","Femmine","30033793","12410","26786","-14376","52669","52669","0","14177","5195","8982","0","30028399","1362","4371","p"
"Aprile","Totale","58914496","25792","51648","-25856","109937","109937","0","33624","10729","22895","0","58911535","4090","12341","p"
"Maggio","Maschi","28883136","13965","24207","-10242","60984","60984","0","20904","5411","15493","0","28888387","2956","8316","p"
"Maggio","Femmine","30028399","13140","25848","-12708","56050","56050","0","15100","5170","9930","0","30025621","1335","5048","p"
"Maggio","Totale","58911535","27105","50055","-22950","117034","117034","0","36004","10581","25423","0","58914008","4291","13364","p"
"Giugno","Maschi","28888387","14453","24125","-9672","61454","61454","0","19238","4899","14339","0","28893054","2467","7518","p"
"Giugno","Femmine","30025621","13665","25959","-12294","57767","57767","0","14237","5057","9180","0","30022507","1232","4481","p"
"Giugno","Totale","58914008","28118","50084","-21966","119221","119221","0","33475","9956","23519","0","58915561","3699","11999","p"
"Luglio","Maschi","28893054","16300","24455","-8155","68978","68978","0","22959","4319","18640","0","28903539","2754","8948","p"
"Luglio","Femmine","30022507","15454","25907","-10453","65292","65292","0","16411","4371","12040","0","30024094","1276","6460","p"
"Luglio","Totale","58915561","31754","50362","-18608","134270","134270","0","39370","8690","30680","0","58927633","4030","15408","p"