"Età","Maschi","Femmine","Totale"
"0","26433","24584","51017"
"1","26437","24638","51075"
"2","27117","25037","52154"
"3","27623","25825","53448"
"4","30302","27776","58078"
"5","31519","29070","60589"
"6","32371","29639","62010"
"7","33310","30574","63884"
"8","33069","30002","63071"
"9","32528","29678","62206"
"10","32415","29844","62259"
"11","31470","28851","60321"
"12","31975","28840","60815"
"13","30326","27147","57473"
"14","30017","26640","56657"
"15","30006","26726","56732"
"16","30155","26393","56548"
"17","30236","25325","55561"
"18","31557","24855","56412"
"19","29999","20756","50755"
"20","32407","20624","53031"
"21","32260","21107","53367"
"22","34048","23095","57143"
"23","37322","25798","63120"
"24","43768","28980","72748"
"25","49579","30956","80535"
"26","55029","33789","88818"
"27","54615","36731","91346"
"28","55264","38810","94074"
"29","54989","41225","96214"
"30","55082","43148","98230"
"31","53745","44300","98045"
"32","56430","47120","103550"
"33","54136","47642","101778"
"34","58259","50471","108730"
"35","57958","53212","111170"
"36","60946","55975","116921"
"37","60894","57368","118262"
"38","60254","57209","117463"
"39","59277","55978","115255"
"40","58706","55937","114643"
"41","56650","54795","111445"
"42","58107","56033","114140"
"43","55890","54693","110583"
"44","57673","55381","113054"
"45","53760","54693","108453"
"46","52806","53528","106334"
"47","50171","52526","102697"
"48","47857","51425","99282"
"49","46193","50256","96449"
"50","43060","48619","91679"
"51","39325","46090","85415"
"52","38851","45981","84832"
"53","35598","44731","80329"
"54","35292","43984","79276"
"55","33559","43453","77012"
"56","32886","43715","76601"
"57","29407","41607","71014"
"58","25045","34750","59795"
"59","23559","33378","56937"
"60","21977","33239","55216"
"61","19924","32097","52021"
"62","18700","30919","49619"
"63","16126","29093","45219"
"64","15908","28613","44521"
"65","13601","25710","39311"
"66","12469","24220","36689"
"67","11013","21866","32879"
"68","10073","19618","29691"
"69","8982","17603","26585"
"70","7804","15632","23436"
"71","6603","13397","20000"
"72","6027","12186","18213"
"73","5270","10338","15608"
"74","5078","9796","14874"
"75","4377","8421","12798"
"76","3861","7266","11127"
"77","3333","6046","9379"
"78","2765","5009","7774"
"79","2355","3954","6309"
"80","2197","3659","5856"
"81","1920","3349","5269"
"82","1831","3287","5118"
"83","1369","2515","3884"
"84","1446","2597","4043"
"85","1066","2008","3074"
"86","976","1799","2775"
"87","819","1426","2245"
"88","641","1158","1799"
"89","550","928","1478"
"90","398","704","1102"
"91","301","570","871"
"92","247","489","736"
"93","158","287","445"
"94","156","301","457"
"95","91","185","276"
"96","52","130","182"
"97","42","111","153"
"98","41","81","122"
"99","45","99","144"
"100 e oltre","92","201","293"
"Totale","2720206","2702220","5422426"